siKoda;normalizirana;SLOVENSKI NAZIV
B21;B21;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z malignimi neoplazmami
B22;B22;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z drugimi opredeljenimi boleznimi
B23;B23;Bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV], ki se kaže z drugimi stanji
B23.0;B230;Sindrom akutne infekcije HIV
B23.8;B238;Bolezen HIV, ki se kaže z drugimi opredeljenimi stanji
B24;B24;Neopredeljena bolezen, ki jo povzroča virus človeške imunske pomanjkljivosti [HIV]
B25;B25;Citomegalovirusna bolezen
B25.0;B250;Citomegalovirusna pljučnica (J17.1*)
B25.1;B251;Citomegalovirusni hepatitis
B25.2;B252;Citomegalovirusni pankreatitis
B25.8;B258;Druge citomegalovirusne bolezni
B25.9;B259;Citomegalovirusna bolezen, neopredeljena
B26;B26;Mumps
B26.0;B260;Mumpsov orhitis
B26.1;B261;Mumpsov meningitis
B26.2;B262;Mumpsov encefalitis
B26.3;B263;Mumpsov pankreatitis
B26.8;B268;Mumps z drugimi zapleti
B26.9;B269;Mumps brez komplikacij
B27;B27;Infekcijska mononukleoza
B27.0;B270;Gamaherpesvirusna mononukleoza
B27.1;B271;Citomegalovirusna mononukleoza
B27.8;B278;Druge infekcijske mononukleoze
B27.9;B279;Infekcijska mononukleoza, neopredeljena
B30;B30;Virusni konjunktivitis
B30.0;B300;Keratokonjunktivitis, ki ga povzroča adenovirus
B30.1;B301;Konjunktivitis, ki ga povzroča adenovirus
B30.2;B302;Virusni faringokonjunktivitis
B30.3;B303;Akutni epidemični hemoragični konjunktivitis (enterovirusni)
B30.8;B308;Druge vrste virusni konjunktivitis
B30.9;B309;Virusni konjunktivitis, neopredeljen
B33;B33;Druge virusne bolezni, ki niso uvrščene drugje
B33.0;B330;Epidemična mialgija
B33.1;B331;Bolezen Ross River
B33.2;B332;Virusni karditis
B33.3;B333;Retrovirusne infekcije, ki niso uvrščene drugje
B33.4;B334;Hantavirusni pljučni sindrom [HPS] [HCPS] (J17.1*)
B33.8;B338;Druge opredeljene virusne bolezni
B34;B34;Virusne infekcije neopredeljenega mesta
B34.0;B340;Adenovirusna infekcija, neopredeljena
B34.1;B341;Enterovirusna infekcija, neopredeljena
B34.2;B342;Coronavirusna infekcija, neopredeljena
B34.3;B343;Parvovirusna infekcija, neopredeljena
B34.4;B344;Papovavirusna infekcija, neopredeljena
B34.8;B348;Druge virusne infekcije neopredeljenega mesta
B34.9;B349;Virusna infekcija, neopredeljena
B35;B35;Dermatofitoze
B35.0;B350;Tinea barbae in tinea capitis
B35.1;B351;Tinea unguium
B35.2;B352;Tinea manuum
B35.3;B353;Tinea pedis
B35.4;B354;Tinea corporis
B35.5;B355;Tinea imbricata
B35.6;B356;Tinea cruris
B35.8;B358;Druge dermatofitoze
B35.9;B359;Dermatofitoza, neopredeljena
B36;B36;Druge superficialne mikoze
B36.0;B360;Pityriasis versicolor
B36.1;B361;Tinea nigra
B36.2;B362;Bela piedra
B36.3;B363;Črna piedra
B36.8;B368;Druge opredeljene superficialne mikoze
B36.9;B369;Superficialna mikoza, neopredeljena
B37;B37;Kandidioza
B37.0;B370;Kandidni stomatitis
B37.1;B371;Pljučna kandidioza
B37.2;B372;Kandidoza kože in nohta
B37.3;B373;Kandidoza vulve in vagine (N77.1*)
B37.4;B374;Kandidoza drugih urogenitalnih lokalizacij
B37.5;B375;Kandidni meningitis
B37.6;B376;Kandidni endokarditis
B37.7;B377;Kandidna sepsa
B37.8;B378;Kandidoza drugih lokalizacij
B37.81;B3781;Kandidoza požiralnika
B37.88;B3788;Kandidoza na drugih mestih
B37.9;B379;Kandidoza, neopredeljena
B38;B38;Kokcidioidomikoza
B38.0;B380;Akutna pljučna kokcidioidomikoza
B38.1;B381;Kronična pljučna kokcidioidomikoza
B38.2;B382;Pljučna kokcidioidomikoza, neopredeljena
B38.3;B383;Kožna kokcidioidomikoza
B38.4;B384;Kokcidioidomikozni meningitis
B38.7;B387;Diseminirana kokcidioidomikoza
B38.8;B388;Druge oblike kokcidioidomikoze
B38.9;B389;Kokcidioidomikoza, neopredeljena
B39;B39;Histoplazmoza
B39.0;B390;Akutna pljučna kapsulirana histoplazmoza
B39.1;B391;Kronična pljučna kapsulirana histoplazmoza
B39.2;B392;Pljučna histoplazmoza, neopredeljena
B39.3;B393;Diseminirana kapsulirana histoplazmoza
B39.4;B394;Kapsulirana histoplazmoza, neopredeljena
B39.5;B395;Histoplasmosis duboisii
B39.9;B399;Histoplazmoza, neopredeljena
B40;B40;Blastomikoza
B40.0;B400;Akutna pljučna blastomikoza
B40.1;B401;Kronična pljučna blastomikoza
B40.2;B402;Pljučna blastomikoza, neopredeljena
B40.3;B403;Kožna blastomikoza
B40.7;B407;Diseminirana blastomikoza
B40.8;B408;Druge oblike blastomikoze
B40.9;B409;Blastomikoza, neopredeljena
B41;B41;Parakokcidioidomikoza
B41.0;B410;Pljučna parakokcidioidomikoza
B41.7;B417;Diseminirana parakokcidioidomikoza
B41.8;B418;Druge oblike parakokcidioidomikoze
B41.9;B419;Parakokcidioidomikoza, neopredeljena
B42;B42;Sporotrihoza
B42.0;B420;Pljučna sporotrihoza
B42.1;B421;Limfokutana sporotrihoza
B42.7;B427;Diseminirana sporotrihoza
B42.8;B428;Druge oblike sporotrihoze
B42.9;B429;Sporotrihoza, neopredeljena
B43;B43;Kromomikoza in feomikotični absces
B43.0;B430;Kožna kromomikoza
B43.1;B431;Feomikotični možganski absces
B43.2;B432;Subkutana feomikotična absces in cista
B43.8;B438;Druge oblike kromomikoze
B43.9;B439;Kromomikoza, neopredeljena
B44;B44;Aspergiloza
B44.0;B440;Invazivna pljučna aspergiloza
B44.1;B441;Druge vrste pljučna aspergiloza
B44.2;B442;Tonzilarna aspergiloza
B44.7;B447;Diseminirana aspergiloza
B44.8;B448;Druge oblike aspergiloze
B44.9;B449;Aspergiloza, neopredeljena
B45;B45;Kriptokokoza
B45.0;B450;Pljučna kriptokokoza
B45.1;B451;Cerebralna kriptokokoza
B45.2;B452;Kožna kriptokokoza
B45.3;B453;Kostna kriptokokoza
B45.7;B457;Diseminirana kriptokokoza
B45.8;B458;Druge oblike kriptokokoze
B45.9;B459;Kriptokokoza, neopredeljena
B46;B46;Zigomikoza
B46.0;B460;Pljučna mukormikoza
B46.1;B461;Rinocerebralna mukormikoza
B46.2;B462;Gastrointestinalna mukormikoza
B46.3;B463;Kožna mukormikoza
B46.4;B464;Diseminirana mukormikoza
B46.5;B465;Mukormikoza, neopredeljena
B46.8;B468;Druge zigomikoze
B46.9;B469;Zigomikoza, neopredeljena
B47;B47;Micetom
B47.0;B470;Evmicetom
B47.1;B471;Aktinomicetom
B47.9;B479;Micetom, neopredeljen
B48;B48;Druge mikoze, ki niso uvrščene drugje
B48.0;B480;Lobomikoza
B48.1;B481;Rinosporidioza
B48.2;B482;Alešerioza
B48.3;B483;Geotrihoza
B48.4;B484;Peniciloza
B48.7;B487;Oportunistične mikoze
B48.8;B488;Druge opredeljene mikoze
B49;B49;Neopredeljena mikoza
B50;B50;Malarija, ki jo povzroča Plasmodium falciparum
B50.0;B500;Malarija, ki jo povzroča Plasmodium falciparum, s cerebralnimi zapleti
B50.8;B508;Druga huda in z zapleti povezana malarija, ki jo povzroča Plasmodium falciparum
B50.9;B509;Malarija, ki jo povzroča Plasmodium falciparum, neopredeljena
B51;B51;Malarija, ki jo povzroča Plasmodium vivax
B51.0;B510;Malarija, ki jo povzroča Plasmodium vivax, z rupturo vranice
B51.8;B518;Malarija, ki jo povzroča Plasmodium vivax, z drugimi zapleti
B51.9;B519;Malarija, ki jo povzroča Plasmodium vivax, brez zapletov
B52;B52;Malarija, ki jo povzroča Plasmodium malariae
B52.0;B520;Malarija, ki jo povzroča Plasmodium malariae, z nefropatijo
B52.8;B528;Malarija, ki jo povzroča Plasmodium malariae, z drugimi zapleti
B52.9;B529;Malarija, ki jo povzroča Plasmodium malariae, brez zapletov
B53;B53;Druge vrste malarija, potrjena z izolacijo parazitov
B53.0;B530;Malarija, ki jo povzroča Plasmodium ovale
B53.1;B531;Malarija, ki jo povzročajo plazmodiji opic
B53.8;B538;Druge vrste malarija, potrjena z izolacijo parazitov, ki ni uvrščena drugje
B54;B54;Neopredeljena malarija
B55;B55;Lišmenioza
B55.0;B550;Visceralna lišmenioza
B55.1;B551;Kožna lišmenioza
B55.2;B552;Mukokutana lišmenioza
B55.9;B559;Lišmenioza, neopredeljena
B56;B56;Afriška tripanosomioza
B56.0;B560;Gambienska tripanosomioza
B56.1;B561;Rodezijska tripanosomioza
B56.9;B569;Afriška tripanosomioza, neopredeljena
B57;B57;Chagasova bolezen
B57.0;B570;Akutna Chagasova bolezen s prizadetostjo srca
B57.1;B571;Akutna Chagasova bolezen brez prizadetosti srca
B57.2;B572;Chagasova bolezen (kronična) s prizadetostjo srca
B57.3;B573;Chagasova bolezen (kronična) s prizadetostjo prebavil
B57.4;B574;Chagasova bolezen (kronična) s prizadetostjo živčevja
B57.5;B575;Chagasova bolezen (kronična) s prizadetostjo drugih organov
B58;B58;Toksoplazmoza
B58.0;B580;Toksoplazemska okulopatija
B58.1;B581;Toksoplazemski hepatitis
B58.2;B582;Toksoplazemski meningoencefalitis (G05.2*)
B58.3;B583;Pljučna toksoplazmoza (J17.3*)
B58.8;B588;Toksoplazmoza s prizadetostjo drugih organov
B58.9;B589;Toksoplazmoza, neopredeljena
B59;B59;Pnevmocistoza (J17.3*)
B60;B60;Druge protozojske bolezni, ki niso uvrščene drugje
B60.0;B600;Babezioza
B60.1;B601;Akantameboza
B60.2;B602;Naeglerioza
B60.8;B608;Druge opredeljene protozojske bolezni
B64;B64;Neopredeljena protozojska bolezen
B65;B65;Shistosomioza [bilharzioza]
B65.0;B650;Shistosomioza, ki jo povzroča Schistosoma haematobium [shistosomioza sečil]
B65.1;B651;Shistosomioza, ki jo povzroča Schistosoma mansoni [črevesna shistosomioza]
B65.2;B652;Shistosomioza, ki jo povzroča Schistosoma japonicum
B65.3;B653;Cerkarijski dermatitis
B65.8;B658;Druge shistosomioze
B65.9;B659;Shistosomioza, neopredeljena
B66;B66;Druge metljajske infekcije
B66.0;B660;Opistorhioza
B66.1;B661;Klonorhioza
B66.2;B662;Dikrocelioza
B66.3;B663;Fasciolioza
B66.4;B664;Paragonimioza
B66.5;B665;Fasciolopsioza
B66.8;B668;Druge opredeljene metljajske infekcije
B66.9;B669;Metljajska infekcija, neopredeljena
B67;B67;Ehinokokoza
B67.0;B670;Infekcija jeter, ki jo povzroča Echinococcus granulosus
B67.1;B671;Infekcija pljuč, ki jo povzroča Echinococcus granulosus
B67.2;B672;Infekcija kosti, ki jo povzroča Echinococcus granulosus
B67.3;B673;Infekcija druge vrste in multiplih mest, ki jo povzroča Echinococcus granulosus
B67.4;B674;Infekcija, ki jo povzroča Echinococcus granulosus, neopredeljena
B67.5;B675;Infekcija jeter, ki jo povzroča Echinococcus multilocularis
B67.6;B676;Infekcija drugih in multiplih mest, ki jo povzroča Echinococcus multilocularis
B67.7;B677;Infekcija, ki jo povzroča Echinococcus multilocularis, neopredeljena
B67.8;B678;Ehinokokoza jeter, neopredeljena
B67.9;B679;Ehinokokoza, druge vrste in neopredeljena
B68;B68;Tenioza (trakuljavost)
B68.0;B680;Trakuljavost, ki jo povzroča Taenia solium
B68.1;B681;Trakuljavost, ki jo povzroča Taenia saginata
B68.9;B689;Tenioza, neopredeljena
B69;B69;Cisticerkoza
B69.0;B690;Cisticerkoza centralnega živčnega sistema
B69.1;B691;Cisticerkoza očesa
B69.8;B698;Cisticerkoza drugih mest
B69.9;B699;Cisticerkoza, neopredeljena
B70;B70;Difilobotrioza in sparganoza
B70.0;B700;Difilobotrioza
B70.1;B701;Sparganoza
B71;B71;Druge infekcije s trakuljami
B71.0;B710;Himenolepioza
B71.1;B711;Dipilidioza
B71.8;B718;Druge opredeljene infekcije s trakuljami
B71.9;B719;Infekcija s trakuljo, neopredeljena
B72;B72;Drakunkulioza
B73;B73;Onhocerkoza
B74;B74;Filarioza
B74.0;B740;Filarioza, ki jo povzroča Wuchereria bancrofti
B74.1;B741;Filarioza, ki jo povzroča Brugia malayi
B74.2;B742;Filarioza, ki jo povzroča Brugia timori
B74.3;B743;Loioza
B74.4;B744;Mansonelioza
B74.8;B748;Druge filarioze
B74.9;B749;Filarioza, neopredeljena
B75;B75;Trihineloza
B76;B76;Bolezni zaradi rudarskih glist
B76.0;B760;Ankilostomioza
B76.1;B761;Nekatorioza
B76.8;B768;Druge bolezni zaradi rudarskih glist
B76.9;B769;Bolezen zaradi rudarske gliste, neopredeljena
B77;B77;Askarioza
B77.0;B770;Askarioza s črevesnimi komplikacijami
B77.8;B778;Askarioza z drugimi komplikacijami
B77.9;B779;Askarioza, neopredeljena
B78;B78;Strongiloidioza
B78.0;B780;Črevesna strongiloidioza
B78.1;B781;Kožna strongiloidioza
B78.7;B787;Diseminirana strongiloidioza
B78.9;B789;Strongiloidioza, neopredeljena
B79;B79;Trihurioza
B80;B80;Enterobioza
B81;B81;Druge črevesne helmintiaze, ki niso uvrščene drugje
B81.0;B810;Anisakioza
B81.1;B811;Črevesna kapilarioza
B81.2;B812;Trihostrongilioza
B81.3;B813;Črevesna angiostrongilioza
B81.4;B814;Mešane črevesne helmintiaze
B81.8;B818;Druge opredeljene črevesne helmintiaze
B82;B82;Neopredeljeni črevesni parazitizem
B82.0;B820;Črevesna helmintiaza, neopredeljena
B82.9;B829;Črevesni parazitizem, neopredeljen
B83;B83;Druge helmintiaze
B83.0;B830;Visceralna larva migrans
B83.1;B831;Gnatostomioza
B83.2;B832;Angiostrongilioza, ki jo povzroča Parastrongylus cantonensis
B83.3;B833;Singamioza
B83.4;B834;Notranja hirudinioza
B83.8;B838;Druge opredeljene helmintioze
B83.9;B839;Helmintioza, neopredeljena
B85;B85;Pedikuloza in ftirioza
B85.0;B850;Pedikuloza, ki jo povzroča Pediculus humanus capitis
B85.1;B851;Pedikuloza, ki jo povzroča Pediculus humanus corporis
B85.2;B852;Pedikuloza, neopredeljena
B85.3;B853;Ftirioza
B85.4;B854;Mešana pedikuloza in ftirioza
B86;B86;Skabies
B87;B87;Miioza - infestacija z mušjimi ličinkami
B87.0;B870;Kožna miioza - infestacija kože z mušjimi ličinkami
B87.1;B871;Miioza rane - infestacija rane z mušjimi ličinkami
B87.2;B872;Očesna miioza - infestacija očesa z mušjimi ličinkami
B87.3;B873;Nazofaringealna miioza -  infestacija nazofarinksa z mušjimi ličinkami
B87.4;B874;Ušesna miioza -  infestacija ušesa z mušjimi ličinkami
B87.8;B878;Miioza na drugih mestih -  infestacija  z mušjimi ličinkami na drugih mestih
B87.9;B879;Miioza, neopredeljena - infestacija  z mušjimi ličinkami, neopredeljena
B88;B88;Druge infestacije
B88.0;B880;Druge akarioze
B88.1;B881;Tungioza [infestacija s peščeno muho]
B88.2;B882;Druge artropodne infestacije
B88.3;B883;Zunanja hirudinioza
B88.8;B888;Druge opredeljene infestacije
B88.9;B889;Infestacija, neopredeljena
B89;B89;Neopredeljena parazitska bolezen
B90;B90;Kasne posledice tuberkuloze
B90.0;B900;Posledice tuberkuloze centralnega živčnega sistema
B90.1;B901;Posledice genitourinarne tuberkuloze
B90.2;B902;Posledice tuberkuloze kosti in sklepov
B90.8;B908;Posledice tuberkuloze drugih organov
B90.9;B909;Posledice tuberkuloze respiratornega trakta in neopredeljene tuberkuloze
B91;B91;Kasne posledice poliomielitisa
B92;B92;Kasne posledice lepre
B94;B94;Kasne posledice drugih in neopredeljenih infekcijskih in parazitskih bolezni
B94.0;B940;Posledice trahoma
B94.1;B941;Posledice virusnega encefalitisa
B94.2;B942;Posledice virusnega hepatitisa
B94.8;B948;Posledice drugih opredeljenih infekcijskih in parazitskih bolezni
B94.9;B949;Posledice neopredeljene infekcijske ali parazitske bolezni
B95;B95;Streptokok in stafilokok kot vzrok bolezni, uvrščenih v druga poglavja
B95.0;B950;Streptokok, skupina A, kot vzrok bolezni, uvrščenih drugje
B95.1;B951;Streptokok, skupina B, kot vzrok bolezni, uvrščenih drugje
B95.2;B952;Streptokok, skupina D, kot vzrok bolezni, uvrščenih drugje
B95.3;B953;Streptococcus pneumoniae kot vzrok bolezni, uvrščenih drugje
B95.4;B954;Druge vrste streptokokov kot vzrok bolezni, uvrščenih drugje
B95.41;B9541;Streptokok skupine C, kot vzrok bolezni, uvrščenih drugje
B95.42;B9542;Streptokok skupine G, kot vzrok bolezni, uvrščenih drugje
B95.48;B9548;Streptokoki drugih opredeljenih skupin kot vzrok bolezni, uvrščenih drugje
B95.5;B955;Neopredeljeni streptokok kot vzrok bolezni, uvrščenih drugje
B95.6;B956;Staphylococcus aureus kot vzrok bolezni, uvrščenih drugje
B95.7;B957;Druge vrste stafilokokov kot vzrok bolezni, uvrščenih drugje
B95.8;B958;Neopredeljeni stafilokok kot vzrok bolezni, uvrščenih drugje
B96;B96;Drugi bakterijski povzročitelji kot vzrok bolezni, uvrščenih v druga poglavja
B96.0;B960;Mycoplasma pneumoniae [M. pneumoniae] kot vzrok bolezni, uvrščenih drugje
B96.1;B961;Klebsiella pneumoniae [K. pneumoniae] kot vzrok bolezni, uvrščenih drugje
B96.2;B962;Escherichia coli [E. coli] kot vzrok bolezni, uvrščenih drugje
B96.3;B963;Haemophilus influenzae [H. influenzae] kot vzrok bolezni, uvrščenih drugje
B96.31;B9631;Haemophilus influenzae [H. influenzae] tipa B kot vzrok bolezni, uvrščeni drugje
B96.38;B9638;Haemophilus influenzae [H. influenzae] druge opredeljene vrste kot vzrok bolezni, uvrščenih drugje
B96.39;B9639;Haemophilus influenzae [H. influenzae] neopredeljene vrste, kot vzrok bolezni, uvrščenih drugje
B96.4;B964;Proteus (mirabilis)(morganii) kot vzrok bolezni, uvrščenih drugje
B96.5;B965;Pseudomonas (aeruginosa) kot vzrok bolezni, uvrščenih drugje
B96.6;B966;Bacillus fragilis [B. fragilis] kot vzrok bolezni, uvrščenih drugje
B96.7;B967;Clostridium perfringens [C. perfringens] kot vzrok bolezni, uvrščenih drugje
B96.8;B968;Drugi opredeljeni bakterijski povzročitelji kot vzrok bolezni, uvrščenih drugje 
B96.81;B9681;Helicobacter pylori [H. pylori] kot vzrok bolezni, uvrščenih drugje
B96.88;B9688;Druge in neopredeljene bakterije kot vzrok bolezni, uvrščenih drugje
B97;B97;Virusni povzročitelji kot vzrok bolezni, uvrščenih v druga poglavja
B97.0;B970;Adenovirus kot vzrok bolezni, uvrščenih drugje
B97.1;B971;Enterovirus kot vzrok bolezni, uvrščenih drugje
B97.2;B972;Coronavirus kot vzrok bolezni, uvrščenih drugje
B97.3;B973;Retrovirus kot vzrok bolezni, uvrščenih drugje
B97.4;B974;Respiratorni sincicijski virus kot vzrok bolezni, uvrščenih drugje
B97.5;B975;Reovirus kot vzrok bolezni, uvrščenih drugje
B97.6;B976;Parvovirus kot vzrok bolezni, uvrščenih drugje
B97.7;B977;Papillomavirus kot vzrok bolezni, uvrščenih drugje
B97.8;B978;Drugi virusni povzročitelji kot vzrok bolezni, uvrščenih drugje
B99;B99;Druge in neopredeljene infekcijske bolezni 
C00;C00;Maligna neoplazma ustnice
C00.0;C000;Zunanja zgornja ustnica
C00.1;C001;Zunanja spodnja ustnica
C00.2;C002;Zunanja ustnica, neopredeljena
C00.3;C003;Zgornja ustnica, notranji del
C00.4;C004;Spodnja ustnica, notranji del
C00.5;C005;Ustnica, neopredeljena, notranji del
C00.6;C006;Komisura ustnic (ustni kot)
C00.8;C008;Preraščajoča lezija ustnice
C00.9;C009;Ustnica, neopredeljena
C01;C01;Maligna neoplazma baze jezika
C02;C02;Maligna neoplazma drugih in neopredeljenih delov jezika
C02.0;C020;Dorzalna površina jezika
C02.1;C021;Rob jezika
C02.2;C022;Ventralna površina jezika
C02.3;C023;Sprednji dve tretjini jezika, brez opredelitve mesta
C02.4;C024;Jezična tonzila (jezični mandelj)
C02.8;C028;Preraščajoča lezija jezika
C02.9;C029;Jezik, neopredeljen
C03;C03;Maligna neoplazma dlesni
C03.0;C030;Zgornja dlesen
C03.1;C031;Spodnja dlesen
C03.9;C039;Dlesen, neopredeljena
C04;C04;Maligna neoplazma ustnega dna
C04.0;C040;Sprednje ustno dno
C04.1;C041;Lateralno (stransko) ustno dno
C04.8;C048;Preraščajoča lezija ustnega dna
C04.9;C049;Ustno dno, neopredeljeno
C05;C05;Maligna neoplazma neba
C05.0;C050;Trdo nebo
C05.1;C051;Mehko nebo
C05.2;C052;Uvula (jeziček)
C05.8;C058;Preraščajoča lezija neba
C05.9;C059;Nebo, neopredeljeno
C06;C06;Maligna neoplazma drugih in neopredeljenih ustnih delov
C06.0;C060;Bukalna (lična) sluznica
C06.1;C061;Vestibulum ust (ustna votlina)
C06.2;C062;Retromolarno področje
C06.8;C068;Preraščajoča lezija drugih in neopredeljenih ustnih delov
C06.9;C069;Usta, neopredeljena
C07;C07;Maligna neoplazma parotidne žleze (obušesne slinavke)
C08;C08;Maligna neoplazma drugih in neopredeljenih velikih žlez slinavk
C08.0;C080;Submandibularna (podčeljustna) slinavka
C08.1;C081; Sublingvalna (podjezična) slinavka
C08.8;C088;Preraščajoča lezija velikih žlez slinavk
C08.9;C089;Velika žleza slinavka, neopredeljena
C09;C09;Maligna neoplazma tonzile (nebnice)
C09.0;C090;Tonzilarna loža
C09.1;C091;Tonzilarni (nebni) lok (sprednji)(zadnji)
C09.8;C098;Preraščajoča lezija tonzile
C09.9;C099;Tonzila, neopredeljena
C10;C10;Maligna neoplazma orofarinksa (ustnega dela žrela)
C10.0;C100;Valekula
C10.1;C101;Sprednja površina epiglotisa (poklopca)
C10.2;C102;Stranska stena orofarinksa
C10.3;C103;Zadnja stena orofarinksa
C10.4;C104;Branhialna reža
C10.8;C108;Preraščajoča lezija orofarinksa
C10.9;C109;Orofarinks, neopredeljen
C11;C11;Maligna neoplazma nazofarinksa (nosnega dela žrela)
C11.0;C110;Zgornja stena nazofarinksa
C11.1;C111;Zadnja stena nazofarinksa
C11.2;C112;Stranska stena nazofarinksa
C11.3;C113;Sprednja stena nazofarinksa
C11.8;C118;Preraščajoča lezija nazofarinksa
C11.9;C119;Nazofarinks, neopredeljen
C12;C12;Maligna neoplazma piriformnega sinusa
C13;C13;Maligna neoplazma hipofarinksa (spodnjega dela žrela)
C13.0;C130;Postkrikoidna regija
